PRODUTO,VALOR,data
PLACA MAE GIGABYTE Z390 AORUS ULTRA,1800,10/02/2021
Processador Intel Core i5-9600KF,1359,11/02/2021
Memória HyperX Fury 16GB (2x8GB) 2666MHz,599,12/02/2021
Placa de Vídeo Galax NVIDIA GeForce GTX 1660 Super,1999,13/02/2021
Fonte XFX 650W TS 80 Plus Gold,680,14/02/2021
Cooler para Processador Cooler Master Hyper 212,249,15/02/2021
SSD Adata XPG Spectrix S40G 512GB,600,16/02/2021
Gabinete Aerocool Cylon RGB LED MID Tower ATX,390,17/02/2021
Placa-Mãe Gigabyte B550M S2H AMD AM4 Micro ATX DDR4,858,17/02/2021
Processador AMD Ryzen 5 3600 Cache 32MB 3.6GHz(4.2GHz Max Turbo) AM4,1400,18/02/2021
Memória HyperX Fury 16GB (2x8GB) 2666MHz,599,19/02/2021
Placa de Vídeo Gigabyte NVIDIA GeForce GTX 1650 Super OC,1499,20/02/2021
Fonte XFX 650W TS 80 Plus Gold,680,21/02/2021
Cooler para Processador Cooler Master Hyper 212,249,22/02/2021
SSD WD Blue 500GB M.2 Leitura 560MB/s Gravação 530MB/s,398,23/02/2021
Gabinete Aerocool Cylon RGB LED MID Tower ATX,390,24/02/2021
Placa-Mãe Asus TUF H310M-Plus Gaming/BR,699,17/02/2021
Processador Intel Core i5-9400F Coffee Lake,970,18/02/2021
Memória HyperX Fury 16GB (2x8GB) 2666MHz,599,19/02/2021
Placa de Vídeo Gigabyte NVIDIA GeForce GTX 1650 Super OC,1499,20/02/2021
Fonte XFX 650W TS 80 Plus Gold,680,21/02/2021
Cooler para Processador Cooler Master Hyper 212,249,22/02/2021
SSD WD Blue 500GB M.2 Leitura 560MB/s Gravação 530MB/s,398,23/02/2021
Gabinete Aerocool Cylon RGB LED MID Tower ATX,390,24/02/2021
Placa-mãe Gigabyte Aorus B450 Aorus M,845,24/02/2021
PROCESSADOR AMD RYZEN 5 3500X,1099,25/02/2021
Memória HyperX Fury 16GB (2x8GB) 2666MHz,599,26/02/2021
Placa de Vídeo Gigabyte NVIDIA GeForce GTX 1650 Super OC,1499,27/02/2021
Fonte XFX 650W TS 80 Plus Gold,680,28/02/2021
Cooler para Processador Cooler Master Hyper 212,249,01/03/2021
SSD WD Blue 500GB M.2 Leitura 560MB/s Gravação 530MB/s,398,02/03/2021
Gabinete Aerocool Cylon RGB LED MID Tower ATX,390,03/03/2021
